date,AAPL,AMD,AMZN,CMCSA,COST,CSCO,CVX,EMLP,FSTA,GDX,GDXJ,GLD,GOOGL,GS,HYG,IBB,INTC,IYR,JNK,JPM,KXI,LQD,META,MSFT,NVDA,ORCL,PG,QQQ,SIVR,SLV,SPY,T,TMF,TTWO,UPRO,USO,UWT,VDC,VDE,VHT,VNQ,VOO,VTI,VZ,WFC,WMT,XOM
2012-03-02,19.4707,7.4600,8.9650,13.7020,86.2300,19.7600,109.6100,,,54.7900,110.8400,166.3400,15.5468,119.9600,91.3700,39.9667,26.9200,60.4400,119.2800,40.6300,34.2600,117.0600,,32.0800,0.3845,29.9600,66.6700,64.8700,34.4700,33.7600,137.3100,23.3157,161.6500,15.5800,3.2600,326.1600,,83.6000,108.9400,64.9500,61.2700,125.6600,70.6000,38.6700,31.2800,19.6700,86.3300
2012-03-05,19.0414,7.0700,9.0130,13.6364,87.6300,19.6000,109.3200,,,53.6200,106.5200,165.6500,15.3716,118.6300,90.8600,39.6467,26.5400,60.9300,118.9800,40.4000,34.4200,116.8500,,31.8000,0.3715,30.2400,66.9500,64.2000,33.7300,33.0300,136.7500,23.4063,158.1000,15.4800,3.2175,327.7600,,83.9400,108.4100,64.7300,61.8900,125.1200,70.2800,39.0000,30.9700,19.8000,87.0100
2012-03-06,18.9379,6.9000,9.0545,13.5520,87.5800,19.4800,108.8500,,,52.4700,103.4400,162.7000,15.1391,113.6700,89.6500,38.8467,26.6100,60.1100,117.6000,39.3200,33.8700,116.6700,,31.5600,0.3680,29.9400,66.8400,63.5700,32.7000,32.0100,134.7500,23.2100,163.2500,15.4100,3.0742,321.0400,,83.1900,106.4600,63.7900,61.0700,123.1600,69.1500,38.6900,30.1100,19.6567,85.8600
2012-03-07,18.9532,7.1700,9.1885,13.7020,87.8900,19.4100,109.4600,,,52.6700,105.2400,163.6300,15.1852,116.4000,89.9000,39.0833,26.9100,60.3700,117.8100,39.9500,34.0850,116.6200,,31.8400,0.3702,30.2200,66.5800,64.0600,33.1100,32.4100,135.6900,23.3233,160.8000,15.4100,3.1400,324.8800,,83.3500,107.2000,64.1400,61.4000,124.1400,69.7500,38.8700,30.4100,19.9533,85.8300
2012-03-08,19.3568,7.4700,9.3820,13.8800,88.3000,19.6800,110.0300,,,53.3200,107.9200,165.2800,15.1937,117.1700,90.6000,39.7500,26.8400,60.2300,118.7700,40.4400,34.5300,116.6400,,32.0100,0.3715,30.0700,66.9000,64.7500,33.5600,32.8500,137.0400,23.4139,155.9500,15.6100,3.2342,326.5600,,83.9100,108.1100,64.9200,61.0800,125.3400,70.4700,39.2200,31.4000,19.9233,84.8300
2012-03-09,19.4704,7.5800,9.2160,13.9831,89.3400,19.8000,109.5700,,,53.2400,106.8000,166.3800,15.0213,117.2900,90.7000,39.8033,27.0700,60.5100,118.7700,41.0300,34.4800,116.5800,,31.9900,0.3705,30.1300,66.9300,65.0200,33.9500,33.2200,137.5700,23.5498,156.4250,15.8300,3.2704,328.7200,,84.1500,108.1700,65.2300,61.3800,125.8200,70.8200,39.1000,31.6600,20.0267,84.3000
2012-03-12,19.7143,7.5000,9.1695,13.8754,89.4300,19.8300,110.0000,,,52.3700,106.1200,165.0700,15.1439,116.9900,90.7000,39.8133,26.9900,60.9300,118.5900,40.5400,34.7050,116.3500,,32.0400,0.3647,29.7100,67.7100,65.0500,33.3200,32.6300,137.5800,23.7462,156.5500,15.9200,3.2717,325.6000,,84.5400,107.4100,65.1200,61.8300,125.8800,70.7700,39.3200,31.5100,20.2267,85.5500
2012-03-13,20.2893,7.7600,9.2295,14.0769,89.9800,20.2200,111.1900,,,52.1100,105.7600,162.3000,15.4600,124.5400,91.3600,40.2100,27.4900,62.0200,119.5500,43.3900,34.9550,116.0300,,32.6700,0.3697,30.1300,67.9000,66.2600,32.9500,32.2600,140.0600,23.8897,148.6000,15.9100,3.4513,326.6400,,85.2200,108.8700,66.0700,63.0800,128.1400,72.0800,39.4800,33.3300,20.3333,86.8600
2012-03-14,21.0564,7.7600,9.1130,13.9597,90.9000,20.2000,110.6900,,,50.1200,100.5200,159.5700,15.4152,120.3700,91.1300,40.0100,27.4600,61.8700,119.2200,43.5800,34.6900,114.6500,,32.7700,0.3593,29.8400,67.8500,66.4900,31.9300,31.2700,139.9100,23.7538,137.3250,15.6800,3.4371,323.2800,,84.9500,107.8000,65.9900,62.9100,128.0400,71.9300,39.4700,33.3700,20.3600,86.0200
2012-03-15,20.9129,8.2500,9.2215,13.9644,91.4600,19.9100,110.0300,,,50.1400,101.9600,161.0800,15.5438,123.0600,90.8200,40.3567,27.7500,61.8300,118.8600,44.7000,34.8000,114.4000,,32.8500,0.3645,30.0600,67.6800,66.6800,32.2000,31.5300,140.7200,23.8973,137.6000,15.9300,3.4933,322.2400,,85.1600,107.9500,66.2500,62.8200,128.7000,72.3500,39.5400,34.0700,20.4100,86.0900
2012-03-16,20.9132,8.2000,9.2525,13.8238,90.4400,20.0300,110.2800,,,49.9300,101.1200,161.3000,15.6416,122.9300,90.4900,40.3367,27.7300,62.2000,118.7100,44.5700,34.9200,114.5700,,32.6000,0.3650,29.7400,67.2500,66.5200,32.2500,31.5900,140.3000,23.8595,138.6000,16.0300,3.5162,328.2400,,85.0500,109.3800,66.2000,63.1800,128.8800,72.4600,39.5700,33.8900,20.2800,86.4400
2012-03-19,21.4679,8.1800,9.2760,13.9925,90.0200,20.1400,110.7000,,,49.6000,99.5200,161.5900,15.8654,124.3000,90.8300,40.5633,27.7400,62.5700,119.0400,45.0000,34.9550,114.4100,,32.2000,0.3660,29.7600,67.2100,66.9900,32.6600,31.9800,140.8500,23.9048,133.6000,16.1300,3.5542,330.3200,,85.1300,110.0800,66.3100,63.6200,129.4200,72.7300,39.6500,34.2500,20.2467,86.9900
